content
Kualitas pendidikan di kampus ini sangat baik, dosennya berkualitas.
Wi-fi di perpustakaan sangat cepat, tapi di gedung lain lambat.
Layanan mahasiswa sudah membaik, tidak serumit dulu.
Tidak ada tempat sampah di sekitar kantin, lingkungan jadi kotor.
Proses pengisian KRS sangat mudah dan tidak ada masalah.
Sistem pembayaran UKT di kampus ini sangat ribet.
Mahasiswa mengeluhkan fasilitas toilet yang kotor.
Seminar tadi kurang interaktif, pembicaranya membosankan.
Koleksi buku di perpustakaan lengkap, suasananya juga nyaman.
Jadwal kuliah sering bertabrakan dengan jadwal organisasi, sulit diatur.
Urusan legalisir ijazah sangat cepat, tidak memakan waktu lama.
Fasilitas lab komputer sudah usang dan butuh peremajaan.
Acara Dies Natalis kampus sangat meriah dan berkesan.
Informasi dari rektorat sangat jelas, tidak ada kebingungan.
Petugas keamanan terlalu ketat, sulit bagi tamu masuk.
Pelayanan pendaftaran ulang sangat lancar dan dibantu panitia.
Harga makanan di kantin terjangkau, tapi pilihan menunya kurang.
Parkiran motor sangat sempit, motor sering lecet.
Pihak kampus sangat peduli dengan kegiatan sosial mahasiswa.
