content,label,sentimen
"Pelayanan akademik hari ini sangat cepat dan ramah, terima kasih!",positive,positive
"Sistem informasi kampus sering down, bikin kesal.",negative,negative
"Antrian administrasi cukup tertib, tapi masih bisa ditingkatkan.",neutral,neutral
Fasilitas perpustakaan lengkap dan nyaman untuk belajar.,positive,positive
"Akses WiFi kampus lambat sekali, tidak bisa upload tugas.",negative,negative
"Petugas loket membantu dengan jelas, prosesnya mudah.",positive,positive
"Toilet di gedung baru bersih, terawat dengan baik.",positive,positive
"SIAKAD error saat KRS, tolong segera diperbaiki.",negative,negative
Pengumuman jadwal kuliah sudah tepat waktu minggu ini.,positive,positive
"Gedung kuliah cukup sejuk, AC berfungsi normal.",positive,positive
"Parkiran motor sering penuh, susah cari tempat.",negative,negative
"Website kampus tampilannya ok, tapi beberapa menu membingungkan.",neutral,negative
"Layanan kemahasiswaan responsif di email, cepat dibalas.",positive,positive
Pelayanan administrasi lambat dan antriannya panjang.,negative,negative
"Kantin kampus bersih, pilihan makanan lumayan bervariasi.",positive,positive
"Notifikasi dari sistem kadang telat masuk, mohon diperbaiki.",neutral,positive
Dosen wali sangat membantu dalam konsultasi KRS.,positive,positive
Aplikasi mobile kampus sering crash saat login.,negative,negative
Petugas keamanan ramah dan sigap membantu parkir.,positive,positive
Beberapa ruang kelas proyektornya tidak berfungsi.,negative,negative
"Alur pembayaran UKT sudah jelas, instruksinya mudah diikuti.",positive,positive
"Ruang tunggu administrasi cukup nyaman, tersedia kursi yang memadai.",neutral,positive
"Server kampus down saat jam sibuk, mengganggu proses perkuliahan.",negative,negative
Informasi beasiswa disampaikan lengkap dan transparan.,positive,positive
